,Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Broad.phase.of.flight,Publication.Date
697,Accident,Non-Fatal,Substantial,Airplane,Beech,95-B55,2.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,25-04-1983
698,Accident,Non-Fatal,Substantial,Airplane,Bellanca,300A,1.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Landing,25-04-1983
699,Accident,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,Landing,25-04-1983
700,Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Approach,25-04-1983
701,Accident,Non-Fatal,Substantial,Airplane,Luscombe,8A,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,25-04-1983
702,Accident,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Landing,25-04-1983
703,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-23,2.0,Reciprocating,Ferry,0.0,0.0,0.0,0.0,Cruise,25-04-1983
704,Accident,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Cruise,25-04-1983
705,Accident,Fatal(1),Substantial,Airplane,Bellanca,8KCAB,1.0,Reciprocating,Personal,1.0,0.0,0.0,1.0,Maneuvering,26-04-1983
706,Accident,Non-Fatal,Substantial,Helicopter,Bell,206A,1.0,Turbo Shaft,Ferry,0.0,0.0,0.0,0.0,Landing,26-04-1983
707,Accident,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,Reciprocating,Instructional,0.0,0.0,0.0,0.0,Takeoff,26-04-1983
708,Accident,Non-Fatal,Substantial,Helicopter,Aerospatiale,AS-350D,1.0,Turbo Shaft,Personal,0.0,0.0,0.0,0.0,Landing,26-04-1983
709,Accident,Non-Fatal,Substantial,Helicopter,Enstrom,280-C,1.0,Reciprocating,Personal,0.0,0.0,0.0,0.0,Takeoff,26-04-1983
710,Accident,Non-Fatal,Substantial,Airplane,Beech,90,2.0,Turbo Prop,Personal,0.0,0.0,0.0,0.0,Landing,26-04-1983
